SimTime;ID;Side;Marking;Type;Damage;Lat;Lon;UTM-Zone;UTM-Easting;UTM-Northing;AGL;
0.035;d48ce941-3c52-4558-8940-bd2ea8ce7fe8;friend;100A1;BVP-2;NoDamage;49.424;16.9775;Zone33;643403.2834;5476470.7841;241.0079;
0.0351;1692a367-6214-44e2-9f1a-58138d293e65;friend;100A2;BVP-2;NoDamage;49.426;16.9775;Zone33;643397.4527;5476693.1108;241.0079;
0.0352;1252e425-426c-4df8-be69-eda577f712c2;friend;100A3;BVP-2;NoDamage;49.428;16.9775;Zone33;643391.6219;5476915.4376;241.0079;
0.0352;1645e804-7231-437e-b1ca-32607905fa7a;enemy;100B1;BVP-2;NoDamage;49.424;16.99;Zone33;644309.6961;5476494.6302;241.0079;
0.0352;7e38c973-522a-4e6f-b4de-0347f7afcb5a;enemy;100B2;BVP-2;NoDamage;49.426;16.99;Zone33;644303.8285;5476716.9566;241.0079;
0.0352;e4b18728-5d15-481b-83c4-9b48dbefb802;enemy;100B3;BVP-2;NoDamage;49.428;16.99;Zone33;644297.9608;5476939.2832;241.0079;
10.0459;d48ce941-3c52-4558-8940-bd2ea8ce7fe8;friend;100A1;BVP-2;NoDamage;49.424;16.9784;Zone33;643471.0031;5476472.5605;241.0105;
10.0461;1692a367-6214-44e2-9f1a-58138d293e65;friend;100A2;BVP-2;NoDamage;49.426;16.9785;Zone33;643466.9162;5476694.933;241.0105;
10.0461;1252e425-426c-4df8-be69-eda577f712c2;friend;100A3;BVP-2;NoDamage;49.428;16.9784;Zone33;643459.3381;5476917.214;241.0105;
10.0461;1645e804-7231-437e-b1ca-32607905fa7a;enemy;100B1;BVP-2;NoDamage;49.424;16.99;Zone33;644309.6961;5476494.6302;241.0105;
10.0462;7e38c973-522a-4e6f-b4de-0347f7afcb5a;enemy;100B2;BVP-2;NoDamage;49.426;16.99;Zone33;644303.8285;5476716.9566;241.0105;
10.0462;e4b18728-5d15-481b-83c4-9b48dbefb802;enemy;100B3;BVP-2;NoDamage;49.428;16.99;Zone33;644297.9608;5476939.2831;241.0105;
20.0453;d48ce941-3c52-4558-8940-bd2ea8ce7fe8;friend;100A1;BVP-2;NoDamage;49.424;16.9798;Zone33;643570.4547;5476475.1707;241.0105;
20.0455;1692a367-6214-44e2-9f1a-58138d293e65;friend;100A2;BVP-2;NoDamage;49.426;16.9799;Zone33;643571.341;5476697.6739;241.0105;
20.0455;1252e425-426c-4df8-be69-eda577f712c2;friend;100A3;BVP-2;NoDamage;49.428;16.9798;Zone33;643558.7905;5476919.8244;241.0106;
20.0455;1645e804-7231-437e-b1ca-32607905fa7a;enemy;100B1;BVP-2;NoDamage;49.424;16.99;Zone33;644309.6961;5476494.6302;241.0105;
20.0455;7e38c973-522a-4e6f-b4de-0347f7afcb5a;enemy;100B2;BVP-2;NoDamage;49.426;16.99;Zone33;644303.8285;5476716.9566;241.0105;
20.0456;e4b18728-5d15-481b-83c4-9b48dbefb802;enemy;100B3;BVP-2;NoDamage;49.428;16.99;Zone33;644297.9608;5476939.2831;241.0105;
30.0607;d48ce941-3c52-4558-8940-bd2ea8ce7fe8;friend;100A1;BVP-2;NoDamage;49.424;16.9806;Zone33;643624.6278;5476476.5934;241.0106;
30.0609;1692a367-6214-44e2-9f1a-58138d293e65;friend;100A2;BVP-2;NoDamage;49.426;16.9807;Zone33;643628.8813;5476699.1851;241.0106;
30.0609;1252e425-426c-4df8-be69-eda577f712c2;friend;100A3;BVP-2;NoDamage;49.428;16.9806;Zone33;643612.9684;5476921.2473;241.0106;
30.0609;1645e804-7231-437e-b1ca-32607905fa7a;enemy;100B1;BVP-2;NoDamage;49.424;16.99;Zone33;644309.6961;5476494.6302;241.0105;
30.061;7e38c973-522a-4e6f-b4de-0347f7afcb5a;enemy;100B2;BVP-2;NoDamage;49.426;16.99;Zone33;644303.8285;5476716.9566;241.0105;
30.061;e4b18728-5d15-481b-83c4-9b48dbefb802;enemy;100B3;BVP-2;NoDamage;49.428;16.99;Zone33;644297.9608;5476939.2831;241.0105;
40.0762;d48ce941-3c52-4558-8940-bd2ea8ce7fe8;friend;100A1;BVP-2;NoDamage;49.424;16.9806;Zone33;643624.6278;5476476.5934;241.0106;
40.0763;1692a367-6214-44e2-9f1a-58138d293e65;friend;100A2;BVP-2;NoDamage;49.426;16.9807;Zone33;643628.8813;5476699.1851;241.0106;
40.0763;1252e425-426c-4df8-be69-eda577f712c2;friend;100A3;BVP-2;NoDamage;49.428;16.9806;Zone33;643612.9684;5476921.2473;241.0106;
40.0763;1645e804-7231-437e-b1ca-32607905fa7a;enemy;100B1;BVP-2;NoDamage;49.424;16.99;Zone33;644309.6961;5476494.6302;241.0105;
40.0764;7e38c973-522a-4e6f-b4de-0347f7afcb5a;enemy;100B2;BVP-2;NoDamage;49.426;16.99;Zone33;644303.8285;5476716.9566;241.0105;
40.0764;e4b18728-5d15-481b-83c4-9b48dbefb802;enemy;100B3;BVP-2;NoDamage;49.428;16.99;Zone33;644297.9608;5476939.2831;241.0105;
50.0756;d48ce941-3c52-4558-8940-bd2ea8ce7fe8;friend;100A1;BVP-2;NoDamage;49.424;16.9806;Zone33;643624.6278;5476476.5934;241.0106;
50.0757;1692a367-6214-44e2-9f1a-58138d293e65;friend;100A2;BVP-2;NoDamage;49.426;16.9807;Zone33;643628.8813;5476699.1851;241.0106;
50.0758;1252e425-426c-4df8-be69-eda577f712c2;friend;100A3;BVP-2;NoDamage;49.428;16.9806;Zone33;643612.9684;5476921.2473;241.0106;
50.0758;1645e804-7231-437e-b1ca-32607905fa7a;enemy;100B1;BVP-2;NoDamage;49.424;16.99;Zone33;644309.6961;5476494.6302;241.0105;
50.0758;7e38c973-522a-4e6f-b4de-0347f7afcb5a;enemy;100B2;BVP-2;MobilityAndFirepowerKill;49.426;16.99;Zone33;644303.8285;5476716.9566;241.0105;
50.0758;e4b18728-5d15-481b-83c4-9b48dbefb802;enemy;100B3;BVP-2;MobilityAndFirepowerKill;49.428;16.99;Zone33;644297.9608;5476939.2831;241.0105;
60.091;d48ce941-3c52-4558-8940-bd2ea8ce7fe8;friend;100A1;BVP-2;NoDamage;49.424;16.9806;Zone33;643624.6278;5476476.5934;241.0106;
60.0911;1692a367-6214-44e2-9f1a-58138d293e65;friend;100A2;BVP-2;NoDamage;49.426;16.9807;Zone33;643628.8813;5476699.1851;241.0106;
60.0911;1252e425-426c-4df8-be69-eda577f712c2;friend;100A3;BVP-2;NoDamage;49.428;16.9806;Zone33;643612.9684;5476921.2473;241.0106;
60.0912;1645e804-7231-437e-b1ca-32607905fa7a;enemy;100B1;BVP-2;NoDamage;49.424;16.99;Zone33;644309.6961;5476494.6302;241.0105;
60.0912;7e38c973-522a-4e6f-b4de-0347f7afcb5a;enemy;100B2;BVP-2;MobilityAndFirepowerKill;49.426;16.99;Zone33;644303.8285;5476716.9566;241.0105;
60.0912;e4b18728-5d15-481b-83c4-9b48dbefb802;enemy;100B3;BVP-2;MobilityAndFirepowerKill;49.428;16.99;Zone33;644297.9608;5476939.2831;241.0105;
